p0,job,stp2001,stp2004,dropout,myeduc,fyeduc,bonus0,bonus500,bonus1500,effort,pass,math
.80000001,1,60.099998,190.10001,0,12,17,1,0,0,23.818182,1,9
.60000002,1,46,105,0,13,12,0,1,0,33.18182,0,3
1,1,60.099998,185.10001,0,15,17,0,0,1,32.454544,1,8
1,1,60.099998,150.10001,0,15,17,0,1,0,25.454546,1,8
.75,1,60,170,0,10,15,0,0,1,38.863636,1,7
.64999998,1,38,95,0,13,15,0,1,0,18.681818,0,8
.55000001,1,60.099998,170.10001,0,13,10,0,0,1,28.636364,1,5
.64999998,,27.200001,27.200001,1,6,6,1,0,0,,0,6
.85000002,1,41.5,75.5,0,10,10,0,0,1,10.840909,0,6
.5,0,39,85,0,17,17,0,1,0,17.84091,0,5
.5,1,0,0,1,6,6,0,0,1,19.09091,0,3
.80000001,1,55,170,0,6,6,0,1,0,16.477272,0,4
.40000001,1,47.200001,140.2,0,6,12,0,1,0,12.681818,0,5
.75,0,41.5,100.5,0,10,13,1,0,0,26.363636,0,4
.69999999,1,55.799999,55.799999,1,15,15,0,0,1,19.431818,0,5
.40000001,1,37.200001,37.200001,1,12,17,1,0,0,15.272727,0,5
.60000002,1,60.099998,225.10001,0,15,17,0,1,0,28.636364,1,8
.40000001,1,0,0,1,12,9,0,0,1,2.5454545,0,5
.60000002,1,60.099998,165.10001,0,10,9,0,1,0,21.977272,1,6
.44999999,1,50.099998,170.10001,0,10,15,0,0,1,39.090908,0,6
.80000001,0,60.099998,175.10001,0,10,13,1,0,0,29.545454,1,6
.89999998,1,14.3,85.300003,0,6,6,0,0,1,11.818182,0,3
.40000001,1,0,0,1,10,12,0,1,0,9.545455,0,5
.60000002,0,60,165,0,12,15,0,0,1,16.84091,1,5
.25,1,32.900002,42.900002,1,9,13,0,0,1,26.59091,0,4
.75,1,0,0,1,15,15,1,0,0,6.3636365,0,5
.80000001,1,41.5,70.5,1,13,13,0,0,1,2.3636363,0,6
.80000001,1,30,67,0,10,13,1,0,0,11.136364,0,4
.64999998,1,41.5,176.5,0,6,6,1,0,0,28.022728,0,5
.40000001,1,0,0,1,15,17,0,0,1,6.3636365,0,5
.80000001,1,28.6,35.599998,1,9,9,0,0,1,15.227273,0,4
.2,1,0,0,1,13,15,0,1,0,4.7727275,0,6
.5,1,5,100,0,17,17,1,0,0,19.454546,0,5
.25,1,60.099998,265.10001,0,10,13,0,0,1,31.818182,1,7
.25,0,56,140,0,6,13,0,1,0,23.136364,0,5
.5,0,42,85,0,15,15,0,1,0,14.431818,0,5
.5,1,34.299999,86.300003,0,10,13,0,1,0,21.59091,0,4
.78750002,,32.900002,47.900002,1,9,9,0,0,1,,0,6
.25,0,0,0,1,6,9,1,0,0,12.727273,0,5
.60000002,1,51,105,0,6,13,0,1,0,24.045454,0,3
.69999999,1,55,185,0,10,10,0,1,0,21.545454,0,5
.60000002,1,34.299999,42.299999,1,15,17,1,0,0,38.18182,0,4
.88999999,1,12.9,12.9,1,15,15,1,0,0,24.09091,0,5
.5,1,14.3,14.3,1,10,10,1,0,0,34,0,4
.64999998,0,60.099998,130.10001,0,9,10,0,1,0,19.09091,1,6
.2,1,39,53,1,13,13,0,0,1,19.772728,0,5
.5,1,50.099998,115.1,0,13,9,1,0,0,14,0,5
.2,1,14.3,115.3,0,15,17,0,1,0,13.636364,0,4
.75,0,24.299999,80.300003,0,17,17,0,0,1,7.8636365,0,6
.60000002,1,41.5,50.5,1,15,15,0,1,0,31.136364,0,5
1,1,60.099998,170.10001,0,15,12,0,1,0,8.272727,1,8
.75,0,60.099998,130.10001,0,10,15,0,0,1,21.59091,1,8
.75,1,38.599998,95.599998,0,12,17,0,0,1,7.818182,0,6
.75,1,35.799999,40.799999,0,17,17,0,0,1,16.022728,0,6
.75,1,0,0,1,10,6,0,0,1,5.090909,0,5
.55000001,1,11.4,95.400002,0,12,17,1,0,0,14.636364,0,6
.5,1,60.099998,170.10001,0,13,17,1,0,0,19.65909,1,6
.050000001,1,11,95,0,15,17,0,1,0,32.5,0,5
0,1,29,100,0,13,12,0,0,1,21.045454,0,7
.89999998,0,21,60,0,10,15,0,1,0,53.636364,0,3
.5,1,31.5,31.5,1,12,17,0,1,0,9.136364,0,5
.025,1,0,0,1,9,9,0,0,1,5.090909,0,5
.75,0,60.099998,195.10001,0,13,15,0,0,1,35,1,6
.80000001,1,30.1,120.1,0,9,9,0,0,1,16.25,0,6
.80000001,1,60.099998,175.10001,0,10,15,0,1,0,28.636364,1,6
0,1,0,0,1,10,9,1,0,0,4.7727275,0,3
.75,1,25,110,0,9,15,1,0,0,19.136364,0,6
.050000001,1,50.099998,130.10001,0,6,6,1,0,0,18.568182,0,3
.69999999,1,51,120,0,13,17,1,0,0,16.045454,0,5
.85000002,1,55.799999,180.8,0,10,10,0,0,1,31.363636,0,5
.80000001,1,33,70,1,15,15,0,1,0,19.772728,0,5
0,1,18.6,105.6,0,15,15,1,0,0,15.681818,0,3
.5,1,55,115,0,10,13,0,0,1,26.431818,0,5
.75,1,60.099998,165.10001,0,15,17,1,0,0,27.045454,1,9
.5,1,5,95,0,12,12,1,0,0,21.818182,0,4
.60000002,1,41.5,140.5,0,10,15,0,1,0,21.227272,0,5
.33000001,0,5.6999998,5.6999998,1,15,17,0,1,0,12.727273,0,5
.30000001,1,22,85,0,15,17,0,1,0,11.795455,0,4
.44999999,1,27.200001,155.2,0,6,12,1,0,0,30,0,4
.5,0,0,0,1,12,15,1,0,0,6.3636365,0,4
.30000001,,28.6,86.599998,0,15,17,1,0,0,,0,8
.75,0,60.099998,205.10001,0,12,17,0,1,0,35,1,
.2,1,60.099998,140.10001,0,10,13,0,1,0,25.90909,1,5
.5,1,60.099998,190.10001,0,10,13,1,0,0,23.863636,1,5
.25,,14.3,14.3,1,12,15,1,0,0,,0,6
.40000001,1,37,150,0,10,6,0,0,1,29.681818,0,4
.80000001,1,60.099998,110.1,0,15,17,0,0,1,3.8181818,1,7
.1,1,31.5,71.5,0,15,15,1,0,0,4.7954545,0,5
.80000001,1,41.5,145.5,0,9,9,1,0,0,27.954546,0,4
.98000002,0,60.099998,155.10001,0,17,17,1,0,0,11.772727,1,7
.5,,60.099998,75.099998,0,13,13,0,0,1,,1,6
.75,1,55.799999,155.8,0,15,12,0,0,1,13.454545,0,7
.5,1,10,40,1,12,13,1,0,0,34.204544,0,4
.28,1,32.900002,37.900002,1,10,15,1,0,0,29.40909,0,7
1,1,38,70,0,15,13,0,1,0,27.386364,0,7
.2,1,55.799999,150.8,0,10,12,1,0,0,21.363636,0,5
.5,1,36,105,0,10,15,1,0,0,17.318182,0,6
1,1,0,0,1,15,17,0,1,0,9.545455,0,3
.89999998,1,60.099998,170.10001,0,15,17,1,0,0,10.568182,1,8
.40000001,1,49,90,0,13,13,0,0,1,22.954546,0,7
.69999999,0,36,130,0,12,10,1,0,0,41.136364,0,5
.5,1,35.799999,56.799999,0,15,15,0,0,1,9.545455,0,5
.40000001,0,60.099998,135.10001,0,15,13,0,1,0,43.06818,1,7
.75,1,46,120,0,12,17,0,0,1,9.545455,0,4
.18000001,1,16,105,0,9,13,1,0,0,27.954546,0,5
.89999998,1,60.099998,100.1,0,12,13,1,0,0,11.727273,1,6
.5,1,40.099998,40.099998,1,15,17,0,1,0,15.909091,0,7
.30000001,1,5.6999998,5.6999998,1,17,17,0,0,1,11.136364,0,6
.33000001,0,0,0,1,17,17,0,0,1,4.7727275,0,2
.25,1,38.599998,86.599998,0,17,17,0,0,1,9.272727,0,5
.5,1,45.799999,91.800003,0,12,12,1,0,0,16.863636,0,7
.5,1,28.6,86.599998,0,9,12,0,1,0,18.181818,0,6
.75,1,47.200001,90.199997,1,13,13,1,0,0,30.227272,0,6
.40000001,1,36,110,0,17,15,0,1,0,21.363636,0,7
.5,1,60.099998,175.10001,0,15,15,1,0,0,27.5,1,6
.5,1,60,135,0,6,6,0,1,0,30.295454,1,5
.5,1,24.299999,70.300003,0,9,9,0,0,1,33.81818,0,4
.89999998,1,42,130,0,17,17,1,0,0,20.681818,0,6
.5,1,50.099998,165.10001,0,10,10,0,1,0,37.31818,0,5
.40000001,1,14.3,14.3,1,9,9,0,1,0,15.522727,0,4
.75,1,60.099998,195.10001,0,17,17,0,0,1,23.863636,1,6
.64999998,1,6,6,1,17,12,0,0,1,14.318182,0,4
.69999999,1,60.099998,144.10001,0,17,17,0,1,0,32.454544,1,6
.69999999,1,10,10,1,13,13,0,0,1,15.181818,0,4
0,1,37.200001,100.2,0,12,12,0,1,0,5.8636365,0,7
.89999998,1,55,140,0,12,17,1,0,0,38.272728,0,6
.80000001,1,60.099998,135.10001,0,17,17,0,0,1,28.75,1,8
.69999999,1,0,0,1,10,15,0,1,0,3.1818182,0,4
.5,1,60.099998,185.10001,0,6,6,0,0,1,34.136364,1,5
.5,1,60.099998,95.099998,0,10,13,1,0,0,24.772728,1,6
.60000002,,60.099998,60.099998,1,13,9,1,0,0,,1,5
.75,1,20,20,1,9,17,0,0,1,21,0,4
.40000001,0,0,17,0,15,17,0,1,0,16.727272,0,6
.2,1,51.5,181.5,0,6,6,1,0,0,18.818182,0,5
0,1,0,0,1,12,6,0,0,1,4.4545455,0,4
.5,1,60.099998,140.10001,0,12,17,0,0,1,28.636364,1,6
.80000001,1,40.099998,85.099998,0,17,17,0,0,1,7.5,0,
.69999999,1,16,38,0,15,12,0,1,0,16.363636,0,6
1,1,18.6,25.6,1,15,17,0,0,1,22.272728,0,5
.40000001,1,20,47,0,12,17,0,0,1,6.181818,0,5
.40000001,1,45.5,142.5,0,13,17,1,0,0,24.65909,0,6
.75,1,30.1,66.099998,0,17,9,1,0,0,19.045454,0,7
1,0,51,105,0,6,6,1,0,0,14.318182,0,6
.75,0,22.9,76.900002,0,12,10,0,0,1,19.431818,0,6
.5,1,60.099998,125.1,0,17,17,0,0,1,15.954545,1,6
.64999998,1,5.6999998,20.700001,1,15,13,0,1,0,3.1818182,0,5
.050000001,1,0,0,1,10,10,0,0,1,19.09091,0,5
.2,1,2,2,1,17,17,0,1,0,17.5,0,4
.5,0,41.5,151.5,0,15,17,0,0,1,20.795454,0,6
.5,1,21.5,21.5,1,15,17,0,1,0,11.136364,0,7
.5,1,15.7,15.7,1,9,9,1,0,0,23.863636,0,5
.80000001,1,55,175,0,10,9,1,0,0,30.795454,0,8
.5,0,46.5,96.5,0,6,6,0,1,0,23.181818,0,5
0,1,0,0,1,12,15,0,1,0,0,0,5
.5,1,60.099998,145.10001,0,12,9,0,0,1,14.318182,1,6
.80000001,,0,0,0,15,15,0,1,0,,0,5
.68000001,,10,15,1,15,15,1,0,0,,0,5
.75,0,45.799999,115.8,0,15,12,0,0,1,15.318182,0,8
.30000001,1,45.799999,125.8,0,15,17,0,1,0,15.613636,0,7
.60000002,1,42,110,0,13,13,0,1,0,22.545454,0,7
.5,1,0,85,0,17,15,0,0,1,3.1818182,0,5
.75,1,50.099998,86.099998,0,15,15,0,0,1,15.863636,0,6
.75,0,60.099998,180.10001,0,15,15,0,0,1,39.772728,1,5
.60000002,1,34.299999,52.299999,0,10,10,0,1,0,13.181818,0,4
.5,1,24,110,0,10,15,0,1,0,19.204546,0,4
.40000001,1,24.299999,47.299999,0,13,9,0,1,0,21.727272,0,5
.60000002,1,32.900002,115.9,0,9,12,0,1,0,34.090908,0,5
.25,0,20,20,1,12,9,1,0,0,12.727273,0,4
.94999999,0,60.099998,60.099998,1,15,17,1,0,0,11.818182,1,7
.0099999998,1,60.099998,190.10001,0,9,10,0,1,0,26.40909,1,7
.5,1,40.099998,81.099998,0,12,13,1,0,0,20.84091,0,5
.94999999,1,60.099998,170.10001,0,15,9,0,0,1,21.363636,1,
.69999999,1,60.799999,165.8,0,17,17,0,1,0,21.181818,1,8
.60000002,1,0,0,1,10,10,0,1,0,4.7727275,0,5
.5,1,38,75,0,13,17,0,0,1,32.5,0,4
.5,1,0,5,1,9,13,0,0,1,10.454545,0,5
.30000001,1,46.5,141.5,0,12,15,0,1,0,14.5,0,6
.40000001,0,58.700001,110.7,0,13,15,0,0,1,21.363636,0,5
.5,,18.6,18.6,1,15,10,1,0,0,,0,3
.2,1,0,0,1,15,17,0,1,0,9.545455,0,4
.5,1,8.6000004,8.6000004,1,15,17,1,0,0,5.2272725,0,7
.30000001,1,0,0,1,13,15,1,0,0,7.9545455,0,4
.69999999,1,16,16,1,15,12,0,0,1,29.09091,0,4
.64999998,1,60.099998,140.10001,0,13,13,0,0,1,16.318182,1,8
.55000001,0,60.099998,135.10001,0,15,17,0,1,0,25.454546,1,5
.69999999,1,60.099998,85.099998,1,15,17,1,0,0,7.909091,1,7
.80000001,1,60.099998,140.10001,0,10,9,1,0,0,16.477272,1,5
.75,1,26,85,0,10,15,0,0,1,33.636364,0,4
.80000001,1,18.6,18.6,1,12,17,0,1,0,5.409091,0,7
.050000001,1,0,0,1,10,10,0,1,0,4.7727275,0,3
.5,1,38,120,0,15,17,1,0,0,23.636364,0,6
.75,0,24.299999,51.299999,0,6,6,0,1,0,16.931818,0,4
.80000001,0,14.3,24.299999,1,12,17,1,0,0,24.09091,0,6
.64999998,1,0,0,1,12,10,0,1,0,6.3636365,0,4
.5,0,0,0,1,15,17,0,0,1,2.5454545,0,5
.80000001,1,60.099998,60.099998,1,10,12,0,1,0,23.863636,1,6
.5,,0,0,1,13,15,1,0,0,,0,8
.25,1,55.799999,150.8,0,12,15,0,1,0,29,0,7
.15000001,0,0,0,1,15,15,0,0,1,12.727273,0,
.2,0,0,15,0,12,17,0,0,1,4.4545455,0,5
.5,1,5,5,1,9,15,0,0,1,5.090909,0,4
.5,1,4.3000002,9.3000002,0,12,6,0,0,1,40.454544,0,4
.60000002,1,32.900002,32.900002,1,17,17,0,1,0,27.045454,0,5
.2,1,19,19,1,6,6,1,0,0,12.727273,0,6
.5,,20,20,1,6,6,0,0,1,,0,5
.1,1,5.6999998,5.6999998,1,10,10,0,1,0,5.090909,0,5
.2,1,0,0,1,15,15,0,1,0,1.9090909,0,5
.30000001,,31.5,38.5,1,10,15,0,0,1,,0,5
.5,1,0,0,1,12,15,1,0,0,7.9545455,0,4
.99000001,1,7.0999999,7.0999999,1,9,15,0,0,1,24.204546,0,4
.1,,0,0,1,13,13,0,0,1,,0,5
.60000002,1,36,125,0,15,15,1,0,0,32.545456,0,4
.2,0,34,34,1,15,15,1,0,0,6.3636365,0,6
.80000001,1,50.099998,101.1,0,13,17,0,1,0,31.59091,0,3
.2,0,17.200001,33.200001,1,15,15,1,0,0,30.227272,0,5
.99000001,0,55.700001,80.699997,0,13,15,1,0,0,36.25,0,5
.40000001,1,0,0,1,15,15,0,0,1,9.545455,0,7
.30000001,0,0,0,1,17,17,1,0,0,2.5454545,0,3
.89999998,1,60.099998,170.10001,0,12,10,1,0,0,21.363636,1,6
.80000001,,5.6999998,72.699997,0,10,12,0,0,1,,0,4
.60000002,1,38,70,0,17,15,0,0,1,21.136364,0,7
.5,1,0,0,1,15,15,0,1,0,3.1818182,0,5
.0099999998,0,0,0,1,17,15,1,0,0,5.090909,0,4
.69999999,0,60.799999,150.8,0,13,17,0,0,1,11.181818,1,7
.60000002,1,22.9,100.9,0,13,17,0,0,1,4.5454545,0,5
.80000001,1,51.5,125.5,0,13,17,1,0,0,23.227272,0,5
.2,0,24.299999,100.3,0,15,17,0,0,1,32.045456,0,5
.34999999,1,19,90,0,15,12,1,0,0,10.113636,0,2
.5,,4.3000002,4.3000002,1,10,17,0,1,0,,0,5
.69999999,1,0,0,1,6,15,0,1,0,9.545455,0,6
.050000001,1,50.099998,57.099998,1,12,12,0,1,0,18.931818,0,6
.5,0,0,0,1,6,6,0,1,0,7.9545455,0,4
.80000001,1,60.099998,170.10001,0,17,17,0,1,0,19.545454,1,7
.80000001,1,43,135,0,15,17,0,0,1,15.818182,0,7
.89999998,1,46,65,0,15,17,1,0,0,25.795454,0,8
.64999998,1,60.099998,155.10001,0,10,15,1,0,0,25.454546,1,7
.5,1,24.299999,141.3,0,10,12,0,1,0,29.545454,0,4
.80000001,0,4.3000002,9.3000002,1,10,10,1,0,0,9.545455,0,6
.80000001,1,24.299999,72.300003,0,13,15,0,1,0,27.272728,0,6
.94999999,1,5.6999998,13.7,1,17,17,0,1,0,1.2727273,0,6
.40000001,1,0,0,1,15,13,1,0,0,14.318182,0,6
.69999999,1,26,95,0,15,12,0,1,0,19.431818,0,6
.5,1,0,26,0,10,12,0,1,0,4.0454545,0,6
.85000002,1,41,141.89999,0,6,6,0,1,0,10.227273,0,4
.5,0,45.799999,135.8,0,15,17,1,0,0,19.318182,0,4
.1,1,0,0,1,15,15,1,0,0,.63636363,0,8
.5,0,60.099998,130.10001,0,13,13,0,1,0,19.272728,1,9
.94999999,0,55.099998,120.1,0,15,12,1,0,0,23.40909,0,8
1,1,60.099998,185.10001,0,13,17,0,0,1,27.5,1,6
